89.064	22.893	4.075	-0.980	-0.781	-6.652	-8.325	-6.846	-9.370	-9.471	-9.648	-9.054	-8.184	-6.629	-9.408
89.196	23.005	4.070	-0.924	-0.697	-6.629	-8.321	-6.833	-9.372	-9.477	-9.622	-9.037	-8.189	-6.595	-9.420
89.315	22.958	4.073	-0.951	-0.675	-6.613	-8.308	-6.817	-9.368	-9.463	-9.623	-8.985	-7.948	-6.520	-9.399
89.393	22.973	3.918	-0.961	-0.707	-6.620	-8.307	-6.812	-9.359	-9.454	-9.621	-8.973	-7.925	-6.639	-9.393
89.431	23.007	4.107	-0.947	-0.704	-6.634	-8.304	-6.812	-9.343	-9.447	-9.614	-8.990	-8.040	-6.709	-9.381
89.377	22.909	3.997	-0.951	-0.602	-6.603	-8.290	-6.802	-9.338	-9.431	-9.589	-8.936	-7.905	-6.744	-9.374
89.467	23.131	4.229	-0.982	-0.666	-6.604	-8.300	-6.805	-9.335	-9.446	-9.624	-8.983	-8.088	-6.862	-9.381
89.587	23.153	4.476	-0.964	-0.668	-6.599	-8.299	-6.806	-9.334	-9.439	-9.585	-8.948	-8.067	-6.709	-9.379
89.646	23.002	4.396	-0.946	-0.637	-6.600	-8.293	-6.803	-9.338	-9.442	-9.581	-8.885	-7.890	-6.560	-9.383
89.642	23.199	4.459	-0.954	-0.607	-6.582	-8.280	-6.798	-9.322	-9.420	-9.618	-8.937	-7.863	-6.728	-9.353
89.610	23.090	4.272	-0.940	-0.546	-6.563	-8.283	-6.788	-9.311	-9.426	-9.612	-8.861	-7.576	-6.254	-9.363
89.608	23.044	4.457	-0.972	-0.651	-6.600	-8.294	-6.797	-9.317	-9.444	-9.620	-8.929	-7.990	-6.801	-9.389
89.605	23.077	4.279	-0.957	-0.585	-6.580	-8.288	-6.794	-9.323	-9.446	-9.618	-8.959	-7.992	-6.733	-9.377
89.649	23.106	4.408	-0.992	-0.680	-6.600	-8.286	-6.794	-9.323	-9.440	-9.615	-8.976	-7.897	-6.619	-9.385
89.717	23.260	4.473	-0.955	-0.650	-6.596	-8.280	-6.790	-9.321	-9.434	-9.603	-8.965	-7.834	-6.494	-9.372
89.745	23.171	4.346	-0.937	-0.595	-6.578	-8.283	-6.783	-9.318	-9.432	-9.604	-9.002	-8.154	-6.870	-9.377
89.793	23.123	4.463	-0.923	-0.603	-6.575	-8.286	-6.786	-9.317	-9.432	-9.607	-9.007	-8.238	-6.839	-9.373
89.790	23.246	4.530	-0.923	-0.632	-6.571	-8.281	-6.784	-9.308	-9.421	-9.603	-9.018	-8.335	-7.056	-9.362
89.948	23.312	4.520	-0.934	-0.612	-6.585	-8.284	-6.788	-9.304	-9.419	-9.593	-8.998	-8.231	-6.768	-9.360
89.942	23.234	4.535	-0.914	-0.586	-6.562	-8.279	-6.776	-9.291	-9.410	-9.592	-8.956	-8.007	-6.849	-9.349
89.897	23.417	4.480	-0.909	-0.508	-6.546	-8.263	-6.761	-9.271	-9.386	-9.603	-8.955	-7.964	-6.838	-9.325
